Question,Bot
Soutien aux personnes,Un ainé peut-il rester à l'emploi dans l'entreprise?,N/A
"Commerces, lieux publics et services prioritaires",Les garages automobiles peuvent-ils faire les changements des pneus?,N/A
"Sports, loisirs et culture","Si on loue un chalet, est-ce que nos enfants et conjoints peuvent venir coucher?",N/A
Services de santé,Est-ce que je peux sortir mon mari de son chsld pour lui faire prendre l'air?,N/A
Famille et habitation,Les chantiers de construction sont-ils fermés?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que je dois porter un masque pour aller à l'épicerie ?,N/A
"Sports, loisirs et culture",Est-il possible de louer un chalet?,N/A
Services de santé,Est-ce que j'ai le droit d'aller voir mon père en phase terminale ?,N/A
Programmes d'aide et revenus,Je n'ai pas courriel comment je peux faire ma demande pour le PATT?,N/A
"Consignes d’isolement, symptômes et traitements",Je travaille dans une shop de transformation alimentaire. Je fais quoi si j'oublie de tousser dans mon coude ?,N/A
"Commerces, lieux publics et services prioritaires","J'ai besoin de meubles et électroménagers, comment je fais?",N/A
"Consignes d’isolement, symptômes et traitements",De retour de voyage faut il que je me mette en quarantaine ?,N/A
"Sports, loisirs et culture",Est-ce que les spas peuvent ouvrir?,N/A
Soutien aux personnes,Je dois me faire opérer est-ce que quelqu'un peut m'accompagner?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce normal de ne pas avoir reçu le résultat de mon test de dépistage plusieurs jours plus tard?,N/A
"Commerces, lieux publics et services prioritaires",Quelle est la responsabilité du propriétaire d'un restaurant ou d'une épicerie quand un des clients présente des symtômes de COVID-19?,N/A
"Sports, loisirs et culture","je suis un joueur de balle molle, pourrons-nous recommencer les matchs?",N/A
"Commerces, lieux publics et services prioritaires",Est-ce que les food truck sont autorisés?,N/A
"Sports, loisirs et culture",Puis-je louer un chalet une semaine?,N/A
Offrir son aide,"J'aimerais avoir des infos pour participer à une étude clinique se rapportant à la COVID-19, où prendre les infos?",N/A
Écoles et éducation,Comment seront évalués les élèves du secondaire?,N/A
Famille et habitation,est-ce qu'un chat qui est infecté par la covid-19 peut infecter son maître qui le flatte?,N/A
Transports et déplacements,J’ai des symptômes de la COVID-19. Puis-je prendre les transports en commun ou le taxi?,N/A
"Commerces, lieux publics et services prioritaires",Où trouver le plan pour le réouverture des secteurs et activités?,N/A
Transports et déplacements,Je peux tu embarquer d'autres personnes dans mon auto?,N/A
Services de santé,Est-ce possible d'apporter des effets personnelles à mon père en CHSLD?,N/A
"Consignes d’isolement, symptômes et traitements",Comment faire pour être isolé avec les autres membres de ma famille ?,N/A
Famille et habitation,Je suis inquiet des risques de transmission de la COVID-19 liés au changement de garde de mon enfant.,N/A
Services de santé,"J'ai pas le virus et je veux aller porter des biens essentiels à mes parents qui sont vulnérables, ils ont encore leur maison est-ce correct",N/A
Famille et habitation,Est-il possible d'aller aider un grand-parent dans sa maison privée qui a reçu un diagnostic de fin de vie?,N/A
Famille et habitation,Où est-il possible de trouver des informations générales sur le droit familial?,N/A
Famille et habitation,Réserver un chalet.,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que je peux ouvrir mon commerce qui est chez moi?,N/A
Municipalités,Est-ce que des élections municipales prévues avant le 26 avril peuvent avoir lieu?,N/A
Services de santé,J'ai des choses à acheter pour mes parents c'est tu correct d'aller leur porter à leur maison,N/A
Écoles et éducation,Mon stage est suspendu,N/A
Municipalités,Une municipalité s’est dotée d’une politique de participation publique conformément aux articles 80.1 à 80.5 de la Loi sur l’aménagement et l’urbanisme.,N/A
Services de santé,Une personne vivant à l'étranger peut-elle suivre la formation pour devenir préposée aux bénéficiaires?,N/A
Transports et déplacements,Est-ce que je peux planifier un voyage?,N/A
"Sports, loisirs et culture",Je loue un petit chalet pour une semaine avec 3 autres personnes. Doivent-elles habiter à la même adresse que moi?,N/A
"Sports, loisirs et culture",Ça fait longtemps que j'avais loué un chalet pour début avril je vais tu être obligé d'annuler ?,N/A
"Commerces, lieux publics et services prioritaires",Je peux tu aller magasiner en ville?,N/A
Famille et habitation,Exceptions à  la fermeture des établissements d'hébergement touristique,N/A
Services de santé,Où postuler pour formation en chsld?,N/A
"Consignes d’isolement, symptômes et traitements",Comment distinguer allergies saisonnières et covid?,N/A
"Sports, loisirs et culture",Quelles sont les directives d'accés aux parcs de la SEPAQ et les centres de plein air?,N/A
Famille et habitation,Est-ce que je peux engager pour certains travaux à l'intérieur de mon domicile?,N/A
"Sports, loisirs et culture","À quand l'ouverture des sentiers de véhicules récréatifs? (quad, vtt)",N/A
"Commerces, lieux publics et services prioritaires",Où puis-je trouver le plan de déconfinement?,N/A
"Consignes d’isolement, symptômes et traitements","Je fais du diabète, suis-je à risque?",N/A
"Consignes d’isolement, symptômes et traitements",Dois-je rester dans ma maison pour soutenir la liste au coronavirus?,N/A
À propos de la COVID-19,"Nombre de personnes sous investigation, de cas négatifs et confirmés",N/A
"Sports, loisirs et culture",J'aimerais savoir si les marinas vont ouvrir et si oui à quelle date?,N/A
"Commerces, lieux publics et services prioritaires",Mes enfants peuvent-ils m'accompagner pour faire les commissions ?,N/A
"Consignes d’isolement, symptômes et traitements",Personnes à risque,N/A
"Sports, loisirs et culture",Puis-je aller prendre une marche?,N/A
Programmes d'aide et revenus,Quelles sont les étapes pour compléter le formulaire d'aide temporaire aux travailleurs?,N/A
"Consignes d’isolement, symptômes et traitements",Temps de survie du coronavirus sur les surfaces.,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que je devrais contracter la COVID-19 pour en être ensuite protégé?,N/A
"Sports, loisirs et culture",je peux tu aller à ma roulotte?,N/A
"Consignes d’isolement, symptômes et traitements",Personnes vulnérables au corona.,N/A
"Commerces, lieux publics et services prioritaires",est-ce que je peux aller dans une clinique d'acuponcture?,N/A
Services de santé,"Ma mère a besoin de linge propre à l'hôpital, est-ce que je peux lui en amener?",N/A
À propos de la COVID-19,J'aimerais savoir ce que le gouvernement fait comme mesure,N/A
Services de santé,Est-il possible d'aller porter de la nourriture ou des biens essentiels à des personnes agées qui habitent encore dans leur maison?,N/A
"Consignes d’isolement, symptômes et traitements",Distanciation sociale.,N/A
"Sports, loisirs et culture",J'ai loué un chalet pour me réfugier en paix pendant la crise. Vais-je pouvoir y aller ?,N/A
À propos de la COVID-19,Quels sont les modes d'infections du coronavirus?,N/A
Offrir son aide,"J'aimerais aider en participant à des essais cliniques pour le traitement des personnes testées positives à la COVID-19, comment faire?",N/A
"Consignes d’isolement, symptômes et traitements",J'ai la gorge serrée et légèrement sèche,N/A
"Consignes d’isolement, symptômes et traitements",Quelle est la différence de danger que pose le virus pour différentes tranches d'âge?,N/A
À propos de la COVID-19,Comment se transmet la COVID‑19?,N/A
Transports et déplacements,Que conseille le gouvernement du Québec à propos des voyages ?,N/A
Famille et habitation,Dans quelle mesure est-ce que je peux engager quelqu'un pour venir faire des réparations?,N/A
"Sports, loisirs et culture",Quelles sont les règles sur l'accès aux parcs nationaux?,N/A
"Consignes d’isolement, symptômes et traitements",Pourquoi les rassemblements non essentiels sont interdits pendant la crise du virus?,N/A
"Sports, loisirs et culture",consignes sanitaires airbnb,N/A
"Sports, loisirs et culture",Est-ce possible d'ouvrir une piscine extérieure dans un immeuble à plusieurs logements?,N/A
Services de santé,C'est tu correct d'apporter de la nourriture pour quelqu'un à l'hôpital?,N/A
"Consignes d’isolement, symptômes et traitements",Qu'impose la loi fédérale sur les retours de voyage ?,N/A
Famille et habitation,Pourquoi les hôtels non essentiels doivent fermer ?,N/A
"Consignes d’isolement, symptômes et traitements",Si je mets ma nourriture à congeler est-ce que ça va tuer le virus ?,N/A
"Sports, loisirs et culture",Installations récréatives intérieures,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que le port du masque est obligatoire dans les salons de coiffure?,N/A
Famille et habitation,Je vais tu pouvoir envoyer mon enfant au camp de jour cet été?,N/A
"Consignes d’isolement, symptômes et traitements",Comment faire le nettoyage de mon environnement?,N/A
Transports et déplacements,Quand est-ce que je vais pouvoir passer mon permis de moto?,N/A
Offrir son aide,Peut-on offrir son aide en donnant du sang?,N/A
Famille et habitation,Que faire avec la garde partagée si les parents vivent dans deux régions différentes?,N/A
"Commerces, lieux publics et services prioritaires",coupe de cheveux à domicile,N/A
Écoles et éducation,J'ai un stage de prévu cet été. est-ce que ca va avoir lieu ?,N/A
Transports et déplacements,Les grands-parents peuvent-ils transporter leurs petits-enfants en voiture?,N/A
Municipalités,"Les bibliothèques, arénas et piscines municipales doivent-elle être fermées par la municipalité?",N/A
Famille et habitation,Est-ce que ma femme de ménage peut venir chez moi faire l'entretien ménager?,N/A
"Sports, loisirs et culture",Qu'est-ce que je dois faire pour désinfecter mon chalet à louer entre chaque locataires ?,N/A
Offrir son aide,Où puis-je offrir mon aide pour faciliter le travail du milieu de la santé?,N/A
"Consignes d’isolement, symptômes et traitements",Qu'est-ce que je dois faire si je suis de retour de voyage ?,N/A
"Sports, loisirs et culture","Pour les campings, la réouverture c'est quand?",N/A
"Sports, loisirs et culture",Peut-on se servir des piscines intérieures dans un condo?,N/A
"Consignes d’isolement, symptômes et traitements",Que va-t-il se passer si on manque de masques de protection respiratoire N-95?​​​,N/A
"Sports, loisirs et culture",Penses-tu que nous pourrons faire bientôt des sports motorisés?,N/A
Transports et déplacements,est-ce que la SAAQ est ouverte?,N/A
"Consignes d’isolement, symptômes et traitements",Quels sont les groupes de personnes à risque de complications suite à une infection au COVID-19?,N/A
"Consignes d’isolement, symptômes et traitements","Si je dois me placer en isolement volontaire, quelles sont les règles à respecter?",N/A
Écoles et éducation,Est-ce que les tests ministériels auront toujours lieu?,N/A
Services de santé,Ma mère de 90 ans veut aller voir sa dernière soeur qui est mourante ?,N/A
"Sports, loisirs et culture",Centres d’amusement,N/A
"Sports, loisirs et culture",pourvoiries,N/A
Soutien aux personnes,Est-ce conseillé d'aller visiter les gens hospitalisés?,N/A
Famille et habitation,Pour quelle raison mon hôtel doit être fermé ?,N/A
"Sports, loisirs et culture",Est-ce que les marinas peuvent ouvrir?,N/A
Transports et déplacements,Est-ce que je peux continuer à utiliser le transport en commun? Comment bien me protéger?,N/A
"Consignes d’isolement, symptômes et traitements","J'arrive de voyage, qu'est-ce que je dois faire ?",N/A
"Sports, loisirs et culture",Est-ce qu'on peut jouer en double au tennis?,N/A
"Commerces, lieux publics et services prioritaires",Pourquoi il y a des marquages au sol dans les magasins?,N/A
À propos de la COVID-19,Quel âge ont les gens qui décèdent de la covid?,N/A
"Sports, loisirs et culture",Mon airbnb vient d'être libéré par les occupants. Y a-t-il des mesures préventives à prendre ?,N/A
Famille et habitation,Est-ce que je peux aller installer un air climatisée chez mes parents?,N/A
"Consignes d’isolement, symptômes et traitements",Je présente des symptômes de la maladie à coronavirus qu'est-ce que je peux faire pour protéger l'entourage avec lequel je vis?,N/A
"Commerces, lieux publics et services prioritaires",Quand les salons de coiffure ouvriront-ils ?,N/A
Programmes d'aide et revenus,Pendant combien de mois le PATT va durer?,N/A
"Commerces, lieux publics et services prioritaires",Ouverture soins de la peau,N/A
Soutien aux personnes,J'ai 78 ans est-ce que je peux travailler?,N/A
"Commerces, lieux publics et services prioritaires",Qu’en est-il des travailleurs qui peuvent faire du télétravail?,N/A
"Consignes d’isolement, symptômes et traitements","Je souffre d'obésité IMC plus grande que 40, est-ce que je fais encore partie des gens vulnérables?",N/A
"Commerces, lieux publics et services prioritaires",Est-ce que je peux voir mon travailleur social?,N/A
"Consignes d’isolement, symptômes et traitements","Mon père est en situation de handicap, est-ce que personne à risque au corona?",N/A
Offrir son aide,J'aimerais donner mon nom pour être bénévole et offrir mon aide.,N/A
"Consignes d’isolement, symptômes et traitements",Les autorités Canadiennes peuvent-elles remettre une contravention si une personne ne s'isole pas à son retour de voyage ?,N/A
Services de santé,Où s'inscrire pour les 10000 préposées?,N/A
Transports et déplacements,J'ai dû annuler ma croisière vais-je ravoir mon argent?,N/A
Transports et déplacements,Est ce que je peux recevoir ma commande dans une région restreinte?,N/A
Soutien aux personnes,Est-ce possible de faire des visites à un proche en CHSLD?,N/A
Services de santé,Comment peut-on s'inscrire pour la formation de préposé aux bénéficiaires de 3 mois annoncée par le gouvernement?,N/A
"Sports, loisirs et culture",Centres d’escalade intérieurs,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que le port du masque protège contre la COVID-19 ?,N/A
"Commerces, lieux publics et services prioritaires",Comment savoir qu'est-ce qui est considéré comme essentiel?,N/A
"Consignes d’isolement, symptômes et traitements",Lavage des fruits et légumes pendant la pandémie.,N/A
Municipalités,Les événements culturels municipaux sont-il annulés tant que la crise du coronavirus n'est pas finie?,N/A
"Consignes d’isolement, symptômes et traitements",Contrainte légal pour les voyageurs de retour des USA par le Canada.,N/A
Famille et habitation,Que puis-je faire s’il est impossible de m’entendre avec mon ex?,N/A
"Commerces, lieux publics et services prioritaires",Quand les salons de toilettage seront-ils ouverts?,N/A
"Consignes d’isolement, symptômes et traitements",Que faire pour ne pas contaminer mon père qui est une personne à risque qui vit à la maison?,N/A
"Consignes d’isolement, symptômes et traitements",Quelles sont les règles à respecter lorsqu'on se place en isolement volontaire ?,N/A
"Sports, loisirs et culture",Puis-je me baigner chez un ami en respectant le 2 mètres?,N/A
"Sports, loisirs et culture",C'est quoi que je dois faire pour éviter le COVID-19 dans mon AirBnb,N/A
"Consignes d’isolement, symptômes et traitements",Ça veut dire quoi distanciation physique ? Ça peut vraiment aider ?,N/A
Programmes d'aide et revenus,Quelles sont les étapes pour obtenir l'aide dans le cadre du programme d'aide temporaire aux travailleurs COVID-19?,N/A
"Consignes d’isolement, symptômes et traitements",Comment me soigner si j'ai attraper le coronavirus,N/A
Transports et déplacements,Les trains roulent encore?,N/A
"Sports, loisirs et culture",Couette et café,N/A
Transports et déplacements,Est-ce qu'il est permis d'utiliser les vélos Bixis pendant la crise ?,N/A
Services de santé,Visites permises pour proches aidants dans les CHSLD?,N/A
Services de santé,J'aimerais savoir comment je joins le programme de préposé aux bénéficiaires en chsld?,N/A
Transports et déplacements,J'aimerais être remboursé pour mon voyage à l'étranger?,N/A
"Consignes d’isolement, symptômes et traitements","J'ai plus de 70 ans, est-ce que je suis à risque d'être hospitalisé à cause du virus?",N/A
Écoles et éducation,évaluation,N/A
"Commerces, lieux publics et services prioritaires",consignes quand un employé présente des symptômes,N/A
"Consignes d’isolement, symptômes et traitements",Avec quels produits je dois nettoyer ma maison si un membre de la famille est atteint?,N/A
Famille et habitation,"Si j'ai une panne d'électricité, est-ce que les électriciens travaillent toujours?",N/A
"Consignes d’isolement, symptômes et traitements",Quel est le temps de survi du virus sur les surfaces ?,N/A
À propos de la COVID-19,Nombre de décès par région,N/A
"Sports, loisirs et culture",Quelles sont les directives pour les séjours prévus dans des chalets à compter du mois de juillet ?,N/A
Services de santé,"Ma soeur est en phase terminale, j'aimerais aller la voir avant sont décès. Est-ce possible ?",N/A
"Consignes d’isolement, symptômes et traitements","J'ai peut-être la COVID-19, je fais quoi?",N/A
"Sports, loisirs et culture",Centres de plein air avec bâtiments de services,N/A
"Consignes d’isolement, symptômes et traitements","Est-ce que ce serait une bonne idée d’attraper le virus afin d’en être immunisé par la suite, c’est-à-dire pour développer une résistance au virus?",N/A
"Consignes d’isolement, symptômes et traitements",résultat test covid,N/A
"Consignes d’isolement, symptômes et traitements",que faire quand je suis à l'extérieur pour une promenade pendant la pandémie?,N/A
Services de santé,J'avais acheté des choses essentielles pour mes parents qui sont en ressource intermédiaire je peux-tu aller leur apporter?,N/A
Programmes d'aide et revenus,Le 48 heures c'est pour la réponse ou le versement du programme d'aide temporaire aux travailleurs PATT COVID-19?,N/A
Écoles et éducation,"Je suis un étudiant en enseignement, qu'en est-t-il des stages?",N/A
Transports et déplacements,Est-ce que j'annule mon projet de voyage à l'étranger?,N/A
"Commerces, lieux publics et services prioritaires","Je suis photographe, est-ce que je peux recommencer à prendre des photos de mes clients?",N/A
Transports et déplacements,"Si moi mon conjoint et ses parents sont dans le même véhicule, est-ce que c'est correct?",N/A
"Commerces, lieux publics et services prioritaires",Qu'en est-il de la photographie?,N/A
À propos de la COVID-19,Liste du pourcentage de cas confirmés de coronavirus par groupe d’âge.,N/A
Transports et déplacements,Services prioritaires de transport et logistique,N/A
"Consignes d’isolement, symptômes et traitements",Pourquoi j'ai été refusé pour passer un test pour le coronavirus?,N/A
Services de santé,La visite dans les hôpitaux est-elle permise pour les proches aidants?,N/A
"Commerces, lieux publics et services prioritaires",Puis-je ouvrir mon salon d'esthétique s'il y a une porte extérieur à quelques mètres de la porte principale?,N/A
Services de santé,Est-ce que je peux faire la commande de ma grand-mère et la lui livrer?,N/A
"Commerces, lieux publics et services prioritaires",Est-ce qu'une coiffeuse qui n'a pas de porte extérieure peut ouvrir?,N/A
"Commerces, lieux publics et services prioritaires",Réouverture des soins esthétiques,N/A
"Consignes d’isolement, symptômes et traitements",Combien de temps survit le virus à l'extérieur?,N/A
"Sports, loisirs et culture",motomarine,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que le virus peut survivre au froid du congélateur ou du frigo ?,N/A
Transports et déplacements,Comment protéger mes passagers et moi-même lorsqu'ils montent dans mon taxi?,N/A
