Question,Bot
Transports et déplacements,Est-ce que j'ai droit à un dédommagement en cas d'annulation de la croisière que j'avais prévu ?,N/A
"Commerces, lieux publics et services prioritaires","Les commandes pour emporter, les livraisons et les services à l’auto sont-ils permis?",N/A
"Consignes d’isolement, symptômes et traitements",Est ce que je dois signaler directement un rassemblement?,N/A
"Commerces, lieux publics et services prioritaires",Quelles sont les phases du plan de déconfinement?,N/A
"Sports, loisirs et culture",remboursement chalet,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que le nez congestionné est un symptôme?,N/A
Services de santé,"Si je tousse, est-ce que je peux aller porter des repas fait maison à ma voisine qui est âgée?",N/A
Entreprises et main d'oeuvre,"Je manipule des aliments, quelles précautions dois-je prendre?",N/A
"Consignes d’isolement, symptômes et traitements","Je fais du diabète, suis-je à risque?",N/A
"Commerces, lieux publics et services prioritaires",Réouverture des soins esthétiques,N/A
Soutien aux personnes,Est-ce que mon conjoint peut être présent  quand je vais accoucher ?,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que les centres commerciaux vont rester fermés?,N/A
Famille et habitation,puis-je faire appel à ma famille pour transporter mes meubles,N/A
Famille et habitation,Pourquoi le gouvernement m'a obligé à fermer mon établissement d'hébergement touristique ?,N/A
"Consignes d’isolement, symptômes et traitements","J'ai été en contact avec une personne infectée, est-ce que je dois me faire dépister?",N/A
Transports et déplacements,Est-il permis de se rendre en Ontario?,N/A
"Sports, loisirs et culture",J'ai réservé un chalet pour ma famille cet été. Qu'est-ce que je fais avec ça ?,N/A
"Consignes d’isolement, symptômes et traitements",je peux tu organiser un souper d'amis,N/A
À propos de la COVID-19,C'est tu bien gérer cette crise là?,N/A
Soutien aux personnes,Est-ce que mon conjoint peut assister à la naissance de notre enfant?,N/A
"Consignes d’isolement, symptômes et traitements",La bouffe peut-elle être infectée au corona?,N/A
"Sports, loisirs et culture",Louer en entier une unité familiale à deux soeurs qui n'ont pas la même adresse,N/A
"Consignes d’isolement, symptômes et traitements",Pourquoi je dois rester en isolement ?,N/A
"Consignes d’isolement, symptômes et traitements",Porter un masque.,N/A
Programmes d'aide et revenus,Qu'est-ce que je dois faire quand je vais avoir reçu le courriel de confirmation pour ma demande d'aide PATT COVID-19?,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que je peux aller voir mon masso?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce qu'on faire un party avec la famille pendant l'épidémie?,N/A
"Commerces, lieux publics et services prioritaires",églises,N/A
Transports et déplacements,"Je planifiais faire un voyage prochainement, devrais-je l'annuler ?",N/A
Entreprises et main d'oeuvre,Quelles sont les gestes à poser pour se protéger en milieu de travail?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que je dois faire le 9-1-1 pour dénoncer une personne ?,N/A
Transports et déplacements,"Si je suis obligé d'annuler mon voyage, est-ce qu'un dédommagement est prévu ?",N/A
"Sports, loisirs et culture",Est-ce que la baignade en piscine est permise?,N/A
Transports et déplacements,J'ai entendu parler d'un programme d'un remboursement pour les voyages annulés?,N/A
"Sports, loisirs et culture",L'hébergement en pourvoirie est-il permis pour une cellule familiale?,N/A
Transports et déplacements,est-ce que je peux apporter ma mère à un rendez-vous?,N/A
"Sports, loisirs et culture",marina,N/A
"Consignes d’isolement, symptômes et traitements","Il est important de se laver les mains fréquemment, dès le retour à la maison et après avoir rangé les articles et les aliments",N/A
"Consignes d’isolement, symptômes et traitements",Comment faire pour avoir rendez-vous pour un test?,N/A
Entreprises et main d'oeuvre,Quelles précautions dois-je prendre en tant que manipulateur d'aliments?,N/A
"Consignes d’isolement, symptômes et traitements",Personnes vulnérables au corona.,N/A
À propos de la COVID-19,C'est tu bien gérer cette crise là?,N/A
"Commerces, lieux publics et services prioritaires",Coiffeuse dans les résidences pour ainées?,N/A
"Commerces, lieux publics et services prioritaires",marchés publics,N/A
"Commerces, lieux publics et services prioritaires",Il faut garder une distance de combien de mètre avec la personne devant nous dans une file ?,N/A
"Commerces, lieux publics et services prioritaires",Quelle est la procédure si un employé a des symptômes?,N/A
"Commerces, lieux publics et services prioritaires",Toilettage mobile,N/A
"Consignes d’isolement, symptômes et traitements",Faire le nettoyage des aliments,N/A
"Consignes d’isolement, symptômes et traitements",Suis-je à risque de complication des suites du COVID même si je suis un jeune adulte?,N/A
À propos de la COVID-19,Je veux le détail du nombre de cas confirmés par région au Québec de corona.,N/A
"Commerces, lieux publics et services prioritaires",carwash,N/A
Entreprises et main d'oeuvre,Liste de recommendations pour établissements commercials,N/A
"Sports, loisirs et culture",Faut-il annuler la réservation du chalet que j'ai faite pour juillet ?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que les symptômes du coronavirus s'apparentent à ceux de la grippe ?,N/A
"Sports, loisirs et culture",Est-ce que je peux me baigner dans la piscine de ma cousine?,N/A
Services de santé,C'est tu possible que j'aille voir quelqu'un qui va mourir à l'hôpital ?,N/A
Transports et déplacements,Je n'ai pas pu partir en voyage aux USA et je veux être remboursé?,N/A
"Consignes d’isolement, symptômes et traitements","Comme je suis jeune et en bonne ssanté, pensez-vous qu'attraper la covid pour être ensuite immunisé serait une bonne idée?",N/A
Offrir son aide,contribution individuelle,N/A
"Sports, loisirs et culture",Est-ce que les campings sont considérés comme un service indispendable ?,N/A
Transports et déplacements,Services prioritaires de transport et logistique,N/A
"Sports, loisirs et culture",jeu d'eau,N/A
À propos de la COVID-19,Quand est-ce que je peux me faire vacciner?,N/A
"Commerces, lieux publics et services prioritaires","Les commandes pour emporter, les livraisons et les services à l’auto sont-ils permis?",N/A
"Consignes d’isolement, symptômes et traitements",Comment protéger mon entourage à l'intérieur si je suis testé positif au COVID ?,N/A
Entreprises et main d'oeuvre,"Je suis dans le secteur bioalimentaire, comment puis-je vendre mes produits?",N/A
"Consignes d’isolement, symptômes et traitements",Dois-je porter un masque pour me protéger du virus?,N/A
"Commerces, lieux publics et services prioritaires",peut-on expulser quelqu'un qui présente des symptomes d'un commerce?,N/A
Offrir son aide,Peut-on offrir son aide en donnant du sang?,N/A
"Consignes d’isolement, symptômes et traitements",La bouffe importée des pays très contaminés au virus est-elle dangereuse ?,N/A
Services de santé,Est-ce que j'ai le droit d'aller voir mon père en phase terminale ?,N/A
Famille et habitation,Est-ce que je peux aller chercher mon enfant en garde partagée qui est dans une région à accès limité?,N/A
Famille et habitation,Est-ce que je peux déménager?,N/A
Écoles et éducation,"Ma fille ne peut pas faire sa reprise d'examen d'histoire de 4e secondaire, va-t-elle avoir ses crédits automatiquement?",N/A
"Consignes d’isolement, symptômes et traitements",Est-ce qu'il est possible de marcher à l'extérieur ?,N/A
"Commerces, lieux publics et services prioritaires",C'est tu possible d'aller faire mes commissions dans le centre d'achat?,N/A
Famille et habitation,Puis-je me marier le 8 août?,N/A
Famille et habitation,Pourquoi les établissements touristiques doivent fermés?,N/A
"Sports, loisirs et culture",est-ce que je peux faire une randonnée de vélo?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce je dois composer le 911 pour dénoncer un regroupement de personnes ?,N/A
Services de santé,"Ma mère se meure à l'hopital, je peux aller la voir ?",N/A
Services de garde,Est-ce que ma cousine peut venir garder mon bébé pendant mes courses?,N/A
À propos de la COVID-19,Quel est le médicament pour aider la guérison de la COVID-19 ?,N/A
Transports et déplacements,Quels sont les produits à utiliser pour nettoyer mes mains avant de prendre un taxi ?,N/A
"Sports, loisirs et culture","En ce qui concerne la fermeture des lieux publics où se tiennent des activités de loisirs et de sports, qu’en est-il?",N/A
"Commerces, lieux publics et services prioritaires",C'est quoi les entreprises qui vont pouvoir recommencer les activités?,N/A
Entreprises et main d'oeuvre,Conseils pour bien adapté l'environnement de travail dans un contexte de covid-19,N/A
"Sports, loisirs et culture",rbnb,N/A
"Consignes d’isolement, symptômes et traitements",Contrainte légal pour les voyageurs de retour des USA par le Canada.,N/A
"Commerces, lieux publics et services prioritaires",Un groupe de personnes qui va au restaurant peut-il être de 3 familles qui n'habitent pas le même endroit?,N/A
"Sports, loisirs et culture",J'ai passé l'hiver dans un chalet loué je peux tu le louer pour tout le printemps ?,N/A
"Consignes d’isolement, symptômes et traitements",Faut-il porter une attention parciiculière à quelqu'un ayant une déficience physique?,N/A
Programmes d'aide et revenues,Comment puis-je faire une demande d'aide financère du programme d'aide temporaire aux travailleurs COVID-19?,N/A
"Sports, loisirs et culture",Ouverture des zec,N/A
Services de santé,Mon père va mourir il est à l'hôpital dans une région à accès restreint. C'est tu possible d'aller le voir ?,N/A
"Consignes d’isolement, symptômes et traitements",Priorité pour le dépistage du COVID-19.,N/A
"Sports, loisirs et culture",La pratique du vélo de montagne est-elle toujours autorisée dans les centres de plein air?,N/A
Municipalités,Une municipalité veut une nouvelle liste électorale aux fins de communiquer avec ses citoyens pendant l’état d’urgence sanitaire.,N/A
"Sports, loisirs et culture",Quelles sont les règles sur l'accès aux parcs nationaux?,N/A
"Sports, loisirs et culture",La location de chalets touristiques est-elle permise?,N/A
"Commerces, lieux publics et services prioritaires",Services d’esthétique,N/A
"Consignes d’isolement, symptômes et traitements","Pour être protéger à l'avenir, serait-ce une bonne idée d'aller attraper la covid?",N/A
Programmes d'aide et revenus,Pourquoi le Programme d’aide temporaire aux travailleurs (PATT) cesse-t-il d’être offert?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que je peux recevoir du monde à la maison pendant la pandémie?,N/A
"Consignes d’isolement, symptômes et traitements",Congélation pour neutraliser le virus.,N/A
Entreprises et main d'oeuvre,Est-ce que le gouvernement donnera des congés maladie ?,N/A
"Sports, loisirs et culture",Est-ce qu'on peut camper en tente dans une sepaq?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que le masque est efficace pour se protéger de la COVID-19,N/A
"Sports, loisirs et culture",Je peux tu envoyer mon enfant se baigner dans une piscine?,N/A
"Sports, loisirs et culture",Est-ce que je peux aller courir dans un parc de la sépaq?,N/A
Transports et déplacements,Est-ce que je pourrais aller en croisière cet été ?,N/A
"Consignes d’isolement, symptômes et traitements",Risque de décès pour les personnes vulnérables au COVID-19.,N/A
Transports et déplacements,Est-ce que le métro est désinfecté souvent ?,N/A
"Consignes d’isolement, symptômes et traitements","J'habite avec ma grand-mère, est-ce qu'on reçevoir des visiteurs?",N/A
Transports et déplacements,Est-ce que j'annule mon projet de voyage à l'étranger?,N/A
"Sports, loisirs et culture",Quand les terrains de camping pourront-ils ouvrir?,N/A
Services de santé,Le plombier peut-il entrer chez une personne agée de plus de 80 ans ?,N/A
À propos de la COVID-19,Il fait quoi le premier ministre pour gérer la crise,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que les lieux de culte sont ouverts?,N/A
Transports et déplacements,J'ai tu le droit d'aller au Iles-de-la-Madelaine?,N/A
"Sports, loisirs et culture",Puis-je louer un chalet une semaine?,N/A
À propos de la COVID-19,Est-ce qu'on peut avoir plus d'information sur l'état de l'épidémie,N/A
"Sports, loisirs et culture",Quelles sont les directives d'accés aux parcs de la SEPAQ et les centres de plein air?,N/A
Transports et déplacements,Comment faire pour ne pas être contaminé dans le métro si j'ai besoin de m'asseoir sur un siège ?,N/A
"Sports, loisirs et culture",Si je prend une marche à l'extérieur est-ce que je dois garder une distance de 2 mètres ?,N/A
"Sports, loisirs et culture",Est-il possible d'être deux personnes dans une chaloupe pour pêcher?,N/A
À propos de la COVID-19,Est-ce qu'il y beaucoup de déces par le coronavirus au Québec ?,N/A
À propos de la COVID-19,Dois-je m’inquiéter de la situation entourant la COVID‑19?,N/A
À propos de la COVID-19,Comment soulager la fièvre?,N/A
"Consignes d’isolement, symptômes et traitements",Quand dois-je porter un couvre-visage?,N/A
À propos de la COVID-19,Est-ce que je peux pogner le covid-19 par une blessure sur la main?,N/A
Offrir son aide,Y'a-t-il une étude clinique pour les personnes testées positives à la COVID-19 ?,N/A
Famille et habitation,Que faire avec la garde partagée si les parents vivent dans deux régions différentes?,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que certains commerces sont des services essentiels ?,N/A
À propos de la COVID-19,Est-ce que les moustiques peuvent transmettre le coronavirus?,N/A
"Commerces, lieux publics et services prioritaires",Les soins de toilettage pour animaux vont-ils ouvrir?,N/A
"Commerces, lieux publics et services prioritaires",massage,N/A
"Consignes d’isolement, symptômes et traitements",Je dois me distancer à 2 mètres des autres?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que c'est possible de différencier les symptômes de la grippe et ceux de la COVID-19?,N/A
"Consignes d’isolement, symptômes et traitements",Quelles sont les règles à suivre en isolement ?,N/A
"Sports, loisirs et culture",musée,N/A
"Sports, loisirs et culture",Est-ce que je devrais tout de suite annuler ma réservation que j'ai faite cet été pour le mois de juillet ?,N/A
"Commerces, lieux publics et services prioritaires",Un restaurateur a-t-il le droit de faire de la livraison à domicile?,N/A
Services de garde,Est-ce que ma famille ou mes amis peuvent garder mes enfants?,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que je peux voir mon travailleur social?,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que je peux aller chez le podiatre?,N/A
Entreprises et main d'oeuvre,"Pour la protection des livreurs d'aliments, est-ce que les masques sont une mesure nécessaire?",N/A
"Consignes d’isolement, symptômes et traitements","Je suis insuffisant cardiaque, suis-je plus à risque de mourrir du corona?",N/A
Écoles et éducation,"Je suis en technique d'éducation à l'enfance, puis-je reprendre mon stage?",N/A
"Sports, loisirs et culture",Est-ce que des personnes résidant à des adresses différentes peuvent dormir sur le même terrain de camping?,N/A
"Commerces, lieux publics et services prioritaires",Où trouver le plan pour le réouverture des secteurs et activités?,N/A
"Consignes d’isolement, symptômes et traitements",Quelle sont les règles à suivre pour l'isolement volontaire?,N/A
"Consignes d’isolement, symptômes et traitements",résultat prélèvement,N/A
"Sports, loisirs et culture",Y a-t-il des mesures à mettre en place pour protéger ma famille et moi après le départ des occupants de la maison que je loue ?,N/A
"Sports, loisirs et culture",Les piscines de condo peuvent-elles ouvrir?,N/A
Famille et habitation,Est-ce qu'une femme de ménage a le droit de travailler dans une maison privée?,N/A
À propos de la COVID-19,Quel âge ont les gens qui décèdent de la covid?,N/A
"Commerces, lieux publics et services prioritaires",Quelles sont les heures d'ouvertures des magasins?,N/A
Services de santé,Est-il possible d'aller porter de la nourriture ou des biens essentiels à des personnes agées qui habitent encore dans leur maison?,N/A
Famille et habitation,Je suis atteinte du coronavirus. Puis-je caresser mon chien?,N/A
"Consignes d’isolement, symptômes et traitements",Dois-je me rendre à l'urgence si je pense avoir la covid?,N/A
"Commerces, lieux publics et services prioritaires",Commerces prioritaires,N/A
Transports et déplacements,"Si ma fille restant en Alberta vient me voir en juillet à la maison, devra-t-elle être confinée 14 jours?",N/A
"Sports, loisirs et culture",Les gîtes touristiques sont-ils autorisés à reprendre leurs activités?,N/A
"Commerces, lieux publics et services prioritaires",est-ce que je peux aller dans une clinique d'acuponcture?,N/A
"Sports, loisirs et culture",Couette et café,N/A
Services de santé,"Est-ce qu’une personne peut, par exemple, se rendre à l’hôpital pour visiter un proche qui est mourant?",N/A
"Commerces, lieux publics et services prioritaires",Puis-je aller à la messe le dimanche?,N/A
"Consignes d’isolement, symptômes et traitements",Où s'adresser pour déposer une plainte contre le manque de vigilance dans un commerce ?,N/A
Transports et déplacements,Est-ce que je peux embarquer quelqu'un autre que mon adresse dans mon véhicule?,N/A
"Commerces, lieux publics et services prioritaires",Planification déconfinement,N/A
"Commerces, lieux publics et services prioritaires",Est-ce que je peux aller chez l'osthéopathe?,N/A
"Commerces, lieux publics et services prioritaires",Quelles sont les heures d'ouvertures des magasins?,N/A
Transports et déplacements,"Mon voyage était déjà planifié, est-ce obligatoire de l'annuler ?",N/A
"Commerces, lieux publics et services prioritaires",Qu'est-ce qui va réouvrir et quand?,N/A
Transports et déplacements,Quelle est la positions des autorités envers les voyages à l'extérieur?,N/A
Entreprises et main d'oeuvre,Dans mon milieu de travail qu'est-ce que je dois faire pour me protéger de la COVID ?,N/A
"Sports, loisirs et culture",Est-ce que je peux jouer au tennis en double si les deux joueurs du même côté habitent à la même adresse?,N/A
"Consignes d’isolement, symptômes et traitements",Est-ce que je peux recevoir du monde à la maison pendant la pandémie?,N/A
Services de santé,"Maman est très malade, on ne sait combien de temps elle va durer, je veux aller la voir à l'hopital.",N/A
"Sports, loisirs et culture",Spa scandinave,N/A
"Consignes d’isolement, symptômes et traitements","Je souffre d'obésité IMC plus grande que 40, est-ce que je fais encore partie des gens vulnérables?",N/A
Transports et déplacements,Position du gouvernement du Québec sur les déplacements à l'étranger.,N/A
"Consignes d’isolement, symptômes et traitements",Quelles sont les consignes sanitaires en lien avec la COVID-19?,N/A
"Sports, loisirs et culture",Quelles sont les directives pour les séjours prévus dans des chalets à compter du mois de juillet ?,N/A
