Question,Golden reponse
j'ai mal à la gorge,"Des médicaments en vente libre peuvent être utilisés pour soulager les symptômes de la maladie à coronavirus (COVID‑19). Avant d’en faire usage, lisez attentivement les étiquettes et respectez les doses recommandées. **Il est fortement recommandé de demander conseil à votre pharmacien** avant d’utiliser des médicaments en vente libre en présence de symptômes. Évitez de prendre en même temps des produits qui contiennent les mêmes ingrédients comme du Tylenol MD et du Tylenol sinus [...]",0.671
aide financière pour employés,"*   Privilégiez les produits du Québec au moment de vos achats. Diverses inscriptions facilitent le repérage de ces produits en magasin. Vous pouvez notamment vous renseigner sur le site [Aliments du Québec](https://www.alimentsduquebec.com/fr/produits-dici) .
*   Faites vos achats dans des commerces locaux consacrés à l’alimentation ou directement auprès des entreprises agricoles ou de transformation locales. [Le Panier bleu ](https://lepanierbleu.ca/) est une nouvelle plateforme de référence q [...]",1
"Est-ce qu’une personne peut, par exemple, se rendre à l’hôpital pour visiter un proche qui est mourant?",Oui. Les établissements de santé tolèrent les visites en cas de situations exceptionnelles ou humanitaires. Le gouvernement du Québec interdit les visites non essentielles.,1
toilettage pour chien,"Tout indique que la COVID-19 se transmet de personne à personne à la suite d’un contact étroit.
Rien n’indique que les animaux jouent un rôle dans la propagation de la maladie. Au Québec, aucune évidence ne suggère un risque d’infection des humains par les animaux ou par des produits animaux.
Des cas de transmission de l'humain vers certains animaux à la suite de contacts étroits ont été établis dans quelques pays. Les connaissances actuelles indiquent notamment que les chats, les furets et les  [...]",0.222
est-ce que je peux aller visiter mon frère à mont laurier,"80 % des personnes infectées guérissent sans traitement particulier.
Il existe des groupes de personnes à risque de décéder à la suite des complications respiratoires graves si elles sont infectées par le coronavirus. Il pourrait s’agir d’une pneumonie ou d’un syndrome respiratoire aigu.
**Les personnes infectées au coronavirus (COVID-19) à risque de décès sont :**
*   les personnes âgées de 70 ans et plus;
*   les personnes avec les conditions suivantes :
    *   maladies chroniques cardiaques; [...]",0.144
c'est quoi le covid,"En décembre 2019, l'Organisation mondiale de la Santé a été alertée de plusieurs cas de pneumonie à Wuhan, en Chine. Le virus responsable de la maladie ne correspondait à aucun autre virus connu. Le 7 janvier 2020, la Chine a confirmé avoir détecté un nouveau virus de la famille des coronavirus responsable de cette nouvelle maladie nommée la COVID‑19.
Pour en savoir plus, consultez la page sur la [Situation du coronavirus (COVID‑19) au Québec](https://www.quebec.ca/sante/problemes-de-sante/a-z/c [...]",1
Je peux tu organiser un souper d'amis,"Misez sur des stratégies de socialisation à distance, qui vous aideront à maintenir et même augmenter les liens avec vos proches en utilisant des moyens de communication alternatifs.
Il ne faut pas minimiser les effets positifs de la socialisation à distance, puisque le maintien de vos relations sociales a un impact positif sur votre santé physique et psychologique dans chaque étape de la vie.
Par exemple, vous pouvez utiliser des moyens de communication directs, indirects ou encore vous montrer [...]",0.768
est-ce que le bas-st-laurent est ouvert?,"Si vous ou votre enfant avez des irritations de la peau ou une réaction allergique ou inflammatoire de la peau lorsque vous vous lavez les mains avec du gel hydroalcoolique, veuillez cesser l’utilisation de ce produit. Utilisez plutôt de l’eau et du savon pour vous laver les mains. Le lavage fréquent des mains et le lavage des mains avec du gel hydroalcoolique peuvent causer une sécheresse de la peau. Afin de prévenir cette sécheresse, il est recommandé d’appliquer de la crème hydratante sur les [...]",0.188
chien,"Tout indique que la COVID-19 se transmet de personne à personne à la suite d’un contact étroit.
Rien n’indique que les animaux jouent un rôle dans la propagation de la maladie. Au Québec, aucune évidence ne suggère un risque d’infection des humains par les animaux ou par des produits animaux.
Des cas de transmission de l'humain vers certains animaux à la suite de contacts étroits ont été établis dans quelques pays. Les connaissances actuelles indiquent notamment que les chats, les furets et les  [...]",1
résidence secondaire,"Généralement, les écoles primaires sont de plus petits milieux que les écoles secondaires. Les élèves du secondaire sont aussi plus autonomes et plus aptes à terminer l’année scolaire à distance.
Le soutien pédagogique sera assuré par les enseignants et complété par des outils comme le site [ecoleouverte.ca ](https://ecoleouverte.ca/fr/?) et les trousses pédagogiques mises à la disposition des élèves du primaire, notamment ceux dont les parents feront le choix de ne pas les retourner en classe.",1
comment puis-,"*   [Soutenir le réseau de la santé](https://jecontribuecovid19.gouv.qc.ca/) 
*   [Participer à une étude clinique pour le traitement des personnes testées positives à la COVID-19](https://www.colcorona.org/) 
*   [Soutenir le réseau des services de garde éducatifs à l'enfance](https://www.quebec.ca/famille-et-soutien-aux-personnes/servicesgardeeducatifsenfance-covid19/#c58397)
*   [Donnez du sang](https://www.hema-quebec.qc.ca/index.fr.html) 
*   [Devenir bénévole](https://www.jebenevole.ca/)",0.398
Favoriser l’achat local avec LePanierBleu.ca,"*   Privilégiez les produits du Québec au moment de vos achats. Diverses inscriptions facilitent le repérage de ces produits en magasin. Vous pouvez notamment vous renseigner sur le site [Aliments du Québec](https://www.alimentsduquebec.com/fr/produits-dici) .
*   Faites vos achats dans des commerces locaux consacrés à l’alimentation ou directement auprès des entreprises agricoles ou de transformation locales. [Le Panier bleu ](https://lepanierbleu.ca/) est une nouvelle plateforme de référence q [...]",1
"je demeure a st ferreol les neiges, est ce que je peux me rendre dans la région de charlevoix avec ma roulotte",Consultez la politique de la plateforme d’hébergement collaboratif en question. La plupart ont convenu de mesures de soutien en lien avec la crise sanitaire actuelle ou prévoient des clauses pour force majeure.,0.306
Est-ce que les restaurants vont ouvrir sous peu?,"Les commerces de détail ayant une entrée extérieure habituellement utilisée par la clientèle pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 25 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure habituellement utilisée par la clientèle doivent rester fermés jusqu’à nouvel ordre.
Pou [...]",1
je suis de la région de la mauricie et j’aimerais voir mes parents dans la région de l’outaouais en gardant notre 2 mètres et nous voyageons en ce ?,Oui. Les établissements de santé tolèrent les visites en cas de situations exceptionnelles ou humanitaires. Le gouvernement du Québec interdit les visites non essentielles.,0.12
can i visit montréal?,"80 % des personnes infectées guérissent sans traitement particulier.
Il existe des groupes de personnes à risque de décéder à la suite des complications respiratoires graves si elles sont infectées par le coronavirus. Il pourrait s’agir d’une pneumonie ou d’un syndrome respiratoire aigu.
**Les personnes infectées au coronavirus (COVID-19) à risque de décès sont :**
*   les personnes âgées de 70 ans et plus;
*   les personnes avec les conditions suivantes :
    *   maladies chroniques cardiaques; [...]",0.529
Les lieux publics,"À partir du 20 mai 2020, la pratique récréative individuelle sans contact sera permise pour les activités suivantes pour l’ensemble des régions.
**Activités de loisir en pratique libre non organisée**
*   Canot et kayak d’eau vive et d’eau calme
*   Course à pied
*   Escalade de rocher
*   Kitesurf
*   Pêche à la journée
*   Planche à pagaie
*   Plongée sous-marine, apnée sportive extérieure
*   Randonnée à cheval extérieure
*   Randonnée pédestre
*   Surf
**Activités sportives récréatives indiv [...]",0.585
Informations générales sur la COVID-19,"Plusieurs décrets et arrêtés ministériels ont été signés par le gouvernement en lien avec la COVID-19.
L’adoption, le 13 mars 2020, d’un [décret déclarant l’état d’urgence sanitaire sur tout le territoire québécois (PDF 19,36 Ko)](https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/sante-services-sociaux/publications-adm/lois-reglements/decret-177-2020.pdf?1584224223), le 20 mars 2020, du [décret de renouvellement de l'état d'urgence sanitaire sur tout le territoire québécois (PDF 25 Ko)](https:// [...]",1
Accès aux équipements collectifs d’une municipalité,"Il est recommandé d’élaborer un plan particulier d’intervention en cas d’épidémie ou de pandémie.
Le ministère des Affaires municipales et de l’Habitation a préparé un guide pour soutenir le milieu municipal à cet égard :
*   [Guide pour l’élaboration d’un Plan particulier d’intervention en cas d’épidémie et de pandémie à l’intention des municipalités (PDF 1,14 Mo)](https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/affaires-municipales/publications-adm/documents/COVID-19/covid19_guide_aux_munici [...]",1
pouvons-nous rendre visite à la famille?,"80 % des personnes infectées guérissent sans traitement particulier.
Il existe des groupes de personnes à risque de décéder à la suite des complications respiratoires graves si elles sont infectées par le coronavirus. Il pourrait s’agir d’une pneumonie ou d’un syndrome respiratoire aigu.
**Les personnes infectées au coronavirus (COVID-19) à risque de décès sont :**
*   les personnes âgées de 70 ans et plus;
*   les personnes avec les conditions suivantes :
    *   maladies chroniques cardiaques; [...]",0.358
quand les écoles vont réouvrir,"Les commerces de détail ayant une entrée extérieure pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 11 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure doivent rester fermés jusqu’à nouvel ordre.
Pour connaître la liste complète des municipalités faisant partie de la communauté mé [...]",0.468
comment vous joindre,Mon rôle est de répondre le plus efficacement possible à vos questions sur la COVID-19.,0.677
quand les magasins vont-ils ouvrir?,"Les commerces de détail ayant une entrée extérieure habituellement utilisée par la clientèle pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 25 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure habituellement utilisée par la clientèle doivent rester fermés jusqu’à nouvel ordre.
Pou [...]",0.656
les aires de jeux sont-elles permisent aux élèves,"Il est recommandé d’élaborer un plan particulier d’intervention en cas d’épidémie ou de pandémie.
Le ministère des Affaires municipales et de l’Habitation a préparé un guide pour soutenir le milieu municipal à cet égard :
*   [Guide pour l’élaboration d’un Plan particulier d’intervention en cas d’épidémie et de pandémie à l’intention des municipalités (PDF 1,14 Mo)](https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/affaires-municipales/publications-adm/documents/COVID-19/covid19_guide_aux_munici [...]",0.157
Informations générales sur la COVID-19,"Plusieurs décrets et arrêtés ministériels ont été signés par le gouvernement en lien avec la COVID-19.
L’adoption, le 13 mars 2020, d’un [décret déclarant l’état d’urgence sanitaire sur tout le territoire québécois (PDF 19,36 Ko)](https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/sante-services-sociaux/publications-adm/lois-reglements/decret-177-2020.pdf?1584224223), le 20 mars 2020, du [décret de renouvellement de l'état d'urgence sanitaire sur tout le territoire québécois (PDF 25 Ko)](https:// [...]",1
jeux monopoly autorisé,"Pour l’instant, il n’y a pas de programme prévu pour le remboursement des programmes de voyage à l’étranger. Chacun doit voir avec son agence de voyages ou son assurance voyage.",0.363
j'ai des douleurs aux pieds,#!builtin_text-bz4RRq,0.123
quels sont les symptômes de la covid-19? ,"La COVID-19 se transmet d’une personne à une autre par le contact avec les gouttelettes qui sont projetées dans l’air quand une personne malade parle, tousse ou éternue. Elle peut aussi se propager par des mains infectées portées à la bouche, au nez ou aux yeux après avoir eu un contact avec une personne ou une surface infectée. La transmission par des surfaces ou des objets contaminés est possible, mais ne représente pas le mode de transmission principal. Il est aussi possible que le virus soit [...]",0.423
"Est-ce que les visites dans les hôpitaux, les CHSLD, les ressources intermédiaires, les ressources de type familial pour les aînés et les adultes vulnérables ainsi que dans les résidences privées pour aînés sont permises?","80 % des personnes infectées guérissent sans traitement particulier.
Il existe des groupes de personnes à risque de décéder à la suite des complications respiratoires graves si elles sont infectées par le coronavirus. Il pourrait s’agir d’une pneumonie ou d’un syndrome respiratoire aigu.
**Les personnes infectées au coronavirus (COVID-19) à risque de décès sont :**
*   les personnes âgées de 70 ans et plus;
*   les personnes avec les conditions suivantes :
    *   maladies chroniques cardiaques; [...]",1
Est-ce que les restaurants vont ouvrir sous peu?,"Les commerces de détail ayant une entrée extérieure habituellement utilisée par la clientèle pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 25 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure habituellement utilisée par la clientèle doivent rester fermés jusqu’à nouvel ordre.
Pou [...]",1
isolement pour un employé qui réside avec un cas confirmé de covid-19,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.311
quelle est la consigne pour les enfants en garde partagée? ,"Si vous ou votre enfant avez des irritations de la peau ou une réaction allergique ou inflammatoire de la peau lorsque vous vous lavez les mains avec du gel hydroalcoolique, veuillez cesser l’utilisation de ce produit. Utilisez plutôt de l’eau et du savon pour vous laver les mains. Le lavage fréquent des mains et le lavage des mains avec du gel hydroalcoolique peuvent causer une sécheresse de la peau. Afin de prévenir cette sécheresse, il est recommandé d’appliquer de la crème hydratante sur les [...]",1
je dois aider pour un déménagement à québec et je dois rester quelques jour chez ma fille,"Il est possible d’aller livrer de l’épicerie à une personne âgée ou une personne ayant un système immunitaire affaibli uniquement si vous ne présentez aucun symptôme et ne revenez pas de voyage depuis moins de 14 jours. En tout temps, il importe de conserver une distance entre les personnes, d’éviter les contacts directs et de respecter les règles d’hygiène habituelles lorsque vous toussez ou éternuez.",0.231
Les déménagements,"Les régions et territoires visés sont les suivants :
*   Bas-Saint-Laurent
*   Municipalité de paroisse de Notre-Dame-des-Sept-Douleurs, dans la région sociosanitaire du Bas-Saint-Laurent.
*   Côte-Nord.
*   Nord-du-Québec.
*   Gaspésie-Îles-de-la-Madeleine.
*   Nunavik.
*   Terres-Cries-de-la-Baie-James.
*   Ville de Gatineau (pour les passages d’Ottawa à Gatineau)
*   Municipalités régionales de comté de Charlevoix et de Charlevoix-Est, pour la région de la Capitale-Nationale.
Le 29 avril, le  [...]",1
locataires d’un même immeuble ,"Les régions et territoires visés sont les suivants :
*   Nord-du-Québec.
*   Gaspésie-Îles-de-la-Madeleine.
*   Nunavik.
*   Terres-Cries-de-la-Baie-James.
Le 29 avril, le gouvernement a annoncé un plan de réouverture des régions qui se fera de manière graduelle et qui s’étalera sur plusieurs semaines.
**À partir du 31 mai**, l’accès sera permis dans :
*   la région sociosanitaire de la Côte-Nord, sauf pour les MRC de la Minganie et du Golfe-du-Saint-Laurent (Basse Côte-Nord).
Un plan de réouver [...]",0.511
pourquoi ça ne fonctionne pas bien,"La COVID-19 appartient à la grande famille des coronavirus. Ce virus provoque une infection respiratoire qui cause des symptômes pouvant être légers et s’apparenter à ceux du rhume, mais qui peuvent aussi être plus sévères, comme ceux associés à la pneumonie et à l’insuffisance pulmonaire. On peut s'en protéger en se lavant fréquemment les mains, et en évitant de se toucher le visage.",0.169
Protéger nos personnes âgées,"80 % des personnes infectées guérissent sans traitement particulier.
Il existe des groupes de personnes à risque de décéder à la suite des complications respiratoires graves si elles sont infectées par le coronavirus. Il pourrait s’agir d’une pneumonie ou d’un syndrome respiratoire aigu.
**Les personnes infectées au coronavirus (COVID-19) à risque de décès sont :**
*   les personnes âgées de 70 ans et plus;
*   les personnes avec les conditions suivantes :
    *   maladies chroniques cardiaques; [...]",0.193
papi peut-il aller chercher sa petite fille en auto avec un masque pour la garder chez lui?,"Il est possible d’aller livrer de l’épicerie à une personne âgée ou une personne ayant un système immunitaire affaibli uniquement si vous ne présentez aucun symptôme et ne revenez pas de voyage depuis moins de 14 jours. En tout temps, il importe de conserver une distance entre les personnes, d’éviter les contacts directs et de respecter les règles d’hygiène habituelles lorsque vous toussez ou éternuez.",0.262
Les stages pour étudiant,"Lorsque les milieux de stage ont confirmé la continuité de leurs services, que les étudiants évoluent dans un endroit où les consignes de la Santé publique sont respectées et que les étudiants peuvent réaliser leur stage, par exemple en recourant au télétravail, les stages sont possibles. Cependant, aucun étudiant ne peut être pénalisé en raison de son incapacité à répondre aux exigences.",0.983
chien,"Tout indique que la COVID-19 se transmet de personne à personne à la suite d’un contact étroit.
Rien n’indique que les animaux jouent un rôle dans la propagation de la maladie. Au Québec, aucune évidence ne suggère un risque d’infection des humains par les animaux ou par des produits animaux.
Des cas de transmission de l'humain vers certains animaux à la suite de contacts étroits ont été établis dans quelques pays. Les connaissances actuelles indiquent notamment que les chats, les furets et les  [...]",1
Quelles sont les mesures prise par le gouvernement?,"Plusieurs décrets et arrêtés ministériels ont été signés par le gouvernement en lien avec la COVID-19.
L’adoption :
*   le 13 mars 2020, d’un [décret déclarant l’état d’urgence sanitaire sur tout le territoire québécois (PDF 19,36 Ko)](https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/sante-services-sociaux/publications-adm/lois-reglements/decret-177-2020.pdf?1584224223);
*   le 20 mars 2020, du [décret de renouvellement de l'état d'urgence sanitaire sur tout le territoire québécois (PDF 25 Ko)] [...]",1
Est-ce que je peux déménager?,"Les régions et territoires visés sont les suivants :
*   Bas-Saint-Laurent
*   Municipalité de paroisse de Notre-Dame-des-Sept-Douleurs, dans la région sociosanitaire du Bas-Saint-Laurent.
*   Côte-Nord.
*   Nord-du-Québec.
*   Gaspésie-Îles-de-la-Madeleine.
*   Nunavik.
*   Terres-Cries-de-la-Baie-James.
*   Ville de Gatineau (pour les passages d’Ottawa à Gatineau)
*   Municipalités régionales de comté de Charlevoix et de Charlevoix-Est, pour la région de la Capitale-Nationale.
Le 29 avril, le  [...]",1
"si une personne a un chalet dans le bas du fleuve, aurais-t-elle le droit d'aller à l'épicerie en arrivant","*   Les hôtels et les motels.
*   Les campings désignés pour l’accueil des _snowbirds_, lesquels sont répertoriés sur le site de Camping Québec.
Tous les terrains de camping doivent demeurer fermés, à l’exception des terrains qui accueillent les _snowbirds_ n’ayant pas d’autre option de logement en sol québécois. Pour accueillir ces derniers, le camping doit offrir les trois services (eau, électricité, égout) afin de s’assurer que le campeur peut demeurer en confinement obligatoire pendant 14 jo [...]",0.241
ma famille peut tu garder mes enfants,"Ll est possible d’aller livrer de l’épicerie à une personne âgée ou une personne ayant un système immunitaire affaibli uniquement si vous ne présentez aucun symptôme et ne revenez pas de voyage depuis moins de 14 jours. En tout temps, il importe de conserver une distance entre les personnes, d’éviter les contacts directs et de respecter les règles d’hygiène habituelles lorsque vous toussez ou éternuez.",0.578
peut-on rouler à vélo en groupe de plus de deux personnes,"Les services de transport en commun demeurent opérationnels et représentent un service essentiel pour permettre, notamment, au personnel du réseau de la santé et des services sociaux de se déplacer.
Les sociétés de transport du Québec ont accentué la fréquence de l’entretien de leurs véhicules et installations.
Les usagers sont tout de même invités à appliquer les consignes sanitaires habituelles et à conserver, dans la mesure du possible, une distance de deux mètres avec les autres personnes pr [...]",0.481
quand les garderies ouvriront,"**Depuis le 11 mai,** les établissements préscolaires et primaires rouvrent progressivement aux élèves dans l’ensemble des régions du Québec, à l’exception de ceux sur le territoire de la communauté métropolitaine de Montréal (CMM) et sur le territoire de la municipalité régionale de comté (MRC) de Joliette. Ces derniers restent fermés pour les élèves **jusqu’à la fin août**.
Les écoles secondaires demeureront aussi fermées pour les élèves **jusqu’à la fin août**. Les apprentissages à distance d [...]",0.428
puis-je aller avec ma mère magasiner ou elle doit y aller seule ,"Il est possible d’aller livrer de l’épicerie à une personne âgée ou une personne ayant un système immunitaire affaibli uniquement si vous ne présentez aucun symptôme et ne revenez pas de voyage depuis moins de 14 jours. En tout temps, il importe de conserver une distance entre les personnes, d’éviter les contacts directs et de respecter les règles d’hygiène habituelles lorsque vous toussez ou éternuez.",0.293
La pratique de la chasse et de la pèche sont elles autorisées pendant la pandémie?,"Les dates pour l’ouverture des saisons de chasse et de pêche sont maintenues, mais les amateurs de chasse et de pêche seront tenus de respecter les interdictions gouvernementales. Ainsi, ils devront se conformer en tout temps aux directives et recommandations de la Direction nationale de la santé publique visant à endiguer l’épidémie de COVID-19, notamment :
*   Éviter de se déplacer d’une région ou d’une ville à l’autre, sauf en cas de nécessité. Les déplacements en lien avec les loisirs ne son [...]",1
Ouverture des services de garde,You will find information about that subject [on this page](https://www.quebec.ca/famille-et-soutien-aux-personnes/services-de-garde-durgence/services-garde-urgence-milieu-scolaire/).,0.487
est-ce que les grands parents peuvent garder les enfants? merci,"Il est possible d’aller livrer de l’épicerie à une personne âgée ou une personne ayant un système immunitaire affaibli uniquement si vous ne présentez aucun symptôme et ne revenez pas de voyage depuis moins de 14 jours. En tout temps, il importe de conserver une distance entre les personnes, d’éviter les contacts directs et de respecter les règles d’hygiène habituelles lorsque vous toussez ou éternuez.",0.324
travailleurs essentiels,Consultez la [liste des services et activités prioritaires](https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/fermeture-endroits-publics-commerces-services-covid19/).,0.426
fiches d assiduites,"Les mesures temporaires permettant aux commerces prioritaires d’ouvrir au-delà des heures habituelles sans restriction quant au nombre d’employés présents prendront fin à compter du 24 mai. Les commerces déjà autorisés à exercer leurs activités devront donc reprendre les heures et jours d’ouverture légales et pourront ouvrir le dimanche, à partir du 24 mai.
Toutefois, les commerces de détail qui n’ont pas un accès direct à l’extérieur habituellement utilisé par la clientèle doivent continuer de  [...]",0.144
quand peut-on recommencer à faire de l'entretien ménager ??   femme de ménage ??? ,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.292
quel sont les mesures économiques pour les personnes malades en covid-19,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.274
je veux inscrire mon enfant au service de garde,"Pour inscrire votre enfant à un service de garde d’urgence, vous devez suivre l’une des démarches suivantes selon le milieu qu’il fréquente. Veuillez bien évaluer la nécessité d’utiliser ce service de garde d’urgence avant de faire une demande.",0.788
j'ai mal à la tête ,"Des médicaments en vente libre peuvent être utilisés pour soulager les symptômes de la maladie à coronavirus (COVID‑19). Avant d’en faire usage, lisez attentivement les étiquettes et respectez les doses recommandées. **Il est fortement recommandé de demander conseil à votre pharmacien** avant d’utiliser des médicaments en vente libre en présence de symptômes. Évitez de prendre en même temps des produits qui contiennent les mêmes ingrédients comme du Tylenol MD et du Tylenol sinus [...]",0.471
est-ce que les photographe peuvent recommencer à travailler avec des séance extérieur ,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.171
Les lieux publics,"À partir du 20 mai 2020, la pratique récréative individuelle sans contact sera permise pour les activités suivantes pour l’ensemble des régions.
**Activités de loisir en pratique libre non organisée**
*   Canot et kayak d’eau vive et d’eau calme
*   Course à pied
*   Escalade de rocher
*   Kitesurf
*   Pêche à la journée
*   Planche à pagaie
*   Plongée sous-marine, apnée sportive extérieure
*   Randonnée à cheval extérieure
*   Randonnée pédestre
*   Surf
**Activités sportives récréatives indiv [...]",0.585
aide financière aux études,"Si vous ou votre enfant avez des irritations de la peau ou une réaction allergique ou inflammatoire de la peau lorsque vous vous lavez les mains avec du gel hydroalcoolique, veuillez cesser l’utilisation de ce produit. Utilisez plutôt de l’eau et du savon pour vous laver les mains. Le lavage fréquent des mains et le lavage des mains avec du gel hydroalcoolique peuvent causer une sécheresse de la peau. Afin de prévenir cette sécheresse, il est recommandé d’appliquer de la crème hydratante sur les [...]",0.787
je veux inscrire mon enfant au service de garde,"Pour inscrire votre enfant à un service de garde d’urgence, vous devez suivre l’une des démarches suivantes selon le milieu qu’il fréquente. Veuillez bien évaluer la nécessité d’utiliser ce service de garde d’urgence avant de faire une demande.",0.556
Où puis-je m’informer sur la situation?,"Une transcription intégrale des conférences et points de presse tenus dans les édifices de l’Assemblée nationale est disponible.
[Consulter les transcriptions sur le site de l'Assemblée nationale](http://www.assnat.qc.ca/fr/actualites-salle-presse/conferences-points-presse/)",1
a quand l'ouverture des centres d'achat? ,"Si vous ou votre enfant avez des irritations de la peau ou une réaction allergique ou inflammatoire de la peau lorsque vous vous lavez les mains avec du gel hydroalcoolique, veuillez cesser l’utilisation de ce produit. Utilisez plutôt de l’eau et du savon pour vous laver les mains. Le lavage fréquent des mains et le lavage des mains avec du gel hydroalcoolique peuvent causer une sécheresse de la peau. Afin de prévenir cette sécheresse, il est recommandé d’appliquer de la crème hydratante sur les [...]",0.268
Activités extérieures,"Oui, sauf si vous avez reçu la consigne de vous isoler pendant 14 jours. Dans ce cas, vous devez rester confiné à la maison, ce qui inclut aussi que vous ne pouvez pas aller marcher jusqu’à la fin de votre isolement.
Si vous n’avez pas reçu la consigne de vous isoler :
*   Pour les personnes qui vivent dans un CHSLD ou une résidence privée pour aînés ou celles qui sont confiées en ressources intermédiaires et en ressources de type familial (RI‑RTF), les sorties à l’extérieur sont tolérées, mais  [...]",1
Pourquoi les hôtels non essentiels doivent fermer ?,"*   Les hôtels et les motels.
*   Les campings désignés pour l’accueil des _snowbirds_, lesquels sont répertoriés sur le site de Camping Québec.
Tous les terrains de camping doivent demeurer fermés, à l’exception des terrains qui accueillent les _snowbirds_ n’ayant pas d’autre option de logement en sol québécois. Pour accueillir ces derniers, le camping doit offrir les trois services (eau, électricité, égout) afin de s’assurer que le campeur peut demeurer en confinement obligatoire pendant 14 jo [...]",1
covoiturage,"Les services de transport en commun demeurent opérationnels et représentent un service essentiel pour permettre, notamment, au personnel du réseau de la santé et des services sociaux de se déplacer.
Les sociétés de transport du Québec ont accentué la fréquence de l’entretien de leurs véhicules et installations.
Les usagers sont tout de même invités à appliquer les consignes sanitaires habituelles et à conserver, dans la mesure du possible, une distance de deux mètres avec les autres personnes pr [...]",0.945
est-ce que les sentiers de vélo de montagne vont être ouvert pour la fête de la reine,"Pour des raisons de sécurité et afin d’éviter les rassemblements publics et les déplacements interrégionaux non essentiels, il est interdit de fréquenter les centres de plein air et les attraits touristiques dûment fermés. De plus, l’accès aux parcs de la Sépaq est interdit depuis le 21 mars 2020, jusqu’à nouvel ordre. Parcs Canada a également suspendu ses activités.",0.352
"si je retourne aux études, ai-je droit à l'aide financière?","**Réseau scolaire, public et privé**
Les établissements préscolaires et primaires reprennent graduellement leurs activités dans l’ensemble des régions du Québec, à l’exception des écoles situées sur le territoire de la [Communauté métropolitaine de Montréal (CMM)](https://cmm.qc.ca/a-propos/territoires-et-municipalites/) , qui restent fermées pour les élèves jusqu'à la fin août. Les exceptions visant le territoire de la Communauté métropolitaine de Montréal s'appliquent aussi au territoire de la [...]",0.585
les sports intérieurs pour le 25 mai ?,Consultez la politique de la plateforme d’hébergement collaboratif en question. La plupart ont convenu de mesures de soutien en lien avec la crise sanitaire actuelle ou prévoient des clauses pour force majeure.,0.693
